type,city,code,,scode,name,lon,lat,area
council,CaSanSAN,San007,San007,7,District 7,-117.0743515,32.83654844,1817901474
council,CaSanSAN,San005,San005,5,District 5,-117.0729012,32.99950909,1777040261
council,CaSanSAN,San001,San001,1,District 1,-117.2239646,32.90525112,1298260375
council,CaSanSAN,San006,San006,6,District 6,-117.1562558,32.87417796,1287825456
council,CaSanSAN,San002,San002,2,District 2,-117.221306,32.75190552,1071351044
council,CaSanSAN,San008,San008,8,District 8,-117.0524659,32.58586173,1048655306
council,CaSanSAN,San004,San004,4,District 4,-117.0613626,32.70806501,479647101.5
council,CaSanSAN,San003,San003,3,District 3,-117.1478466,32.7405598,416385033.8
council,CaSanSAN,San009,San009,9,District 9,-117.0920759,32.74681659,353218336
